"corT1_y_prior1","corT2_y_prior1","corT3_y_prior1","corT1_y_prior2","corT2_y_prior2","corT3_y_prior2"
0.85232118592316,0.372951161331919,0.362011121764257,0.344928078809733,-0.934145702793998,-0.105177264952802
-0.930827704806793,0.268741617726801,-0.278091230532287,-0.639886162183838,-0.757771480699671,-0.0625539082129885
-0.984990434667765,-0.123353981917623,0.0944033843063659,0.754920893651565,0.62999904323485,0.146848984461577
0.964083332891323,-0.247150439020051,0.141780264609937,0.90912213008758,0.394269920079126,-0.0890177227240052
0.337985504982846,-0.813954294728543,0.498675220631442,-0.574466976370964,0.261766243172405,-0.790918147428048
0.314091713773416,0.477461851169456,0.814463933670713,0.0127457759790695,0.303837504177035,0.947174451662087
-0.59222212767587,-0.165104173572192,-0.792953772606037,0.0637042489064904,-0.781459868742244,0.636126195510225
0.924283968218944,0.0495328569440923,0.389809853771638,0.57808642461725,0.0273463754844635,-0.806787133159195
-0.551895740149219,-0.240366132787965,-0.800350052990976,0.358902672983783,0.90249448700935,0.210112250205553
-0.477598158401723,0.026402365063881,-0.885769304015456,0.717851494680183,-0.439356712201944,-0.528308046741648
0.12962217616169,-0.0147155580773823,0.993421720596482,-0.20341452635587,0.19125795313768,-0.966887930368357
0.794839173195277,0.0650996697195283,0.61288184262687,0.919593520269783,0.381493322010862,0.0185717622096626
-0.643612155501604,0.698770736834065,-0.350979878752707,0.240386062928041,0.88312243290069,0.384254534088329
-0.985641670360465,0.164701540444989,-0.0897567019051901,0.296152812430326,-0.504197602943235,0.826535998588073
-0.637213785174541,0.199026469956032,0.733252827492912,-0.71650198567531,-0.646690952673047,-0.238139089642555
-0.76028158147096,-0.0219879224109364,0.637580109581064,-0.349370882961783,0.582602288419594,-0.752468267104039
-0.781007967016455,-0.402715272662978,-0.473707135925439,-0.6596832944077,-0.628380817082894,0.400669290468406
-0.164170582216831,-0.181015188819974,-0.968335720749443,-0.292237464232067,-0.622281073136291,0.729430253867213
-0.327246908828715,0.945982934873984,0.0519521805123166,-0.560147622291128,-0.368980954691591,0.736070000002947
-0.971063872341747,0.19106294807038,-0.175760750978848,0.209688513494243,0.939758464022491,0.247253463556185
0.189569609507902,0.978805725930469,0.0222776688291872,0.711364811850798,0.345016216079936,0.611843685693908
